hotel_name,rating,rating_description,review_count,star_rating,location,nearest_landmark,Distance_to_Landmark,Distance_to_Landmark(in_km),price_per_night,tax,city,state,address,price_range,latitude,longitude,amenities,hotel_type,phone_number,email,website,booking_url,description,check_in_time,check_out_time,room_types,data_source,data_quality_score
Alam Homoeo Clinic,3.9,,279.0,,,,,,,,Dispur,Assam,,,26.129058,91.7801466,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-900321,info@alamhomoe.com,https://www.alamhomoeocli.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Mariyam Hotel,3.3,,497.0,,,,,,,,Dispur,Assam,,,26.1290385,91.7802023,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-507943,info@mariyamho.com,https://www.mariyamhotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
NORTHEAST KITCHEN,3.4,,221.0,,,,,,,,Dispur,Assam,,,26.1780012,91.8042074,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-401111,info@northeast.com,https://www.northeastkitch.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
BARBEE'S FOOD CORNER,3.7,,66.0,,,,,,,,Dispur,Assam,,,26.1727364,91.7846733,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-937496,info@barbeesf.com,https://www.barbeesfoodc.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
C.P.W.D GUEST HOUSE,4.1,,81.0,,,,,,,,Dispur,Assam,,,26.1724752,91.7822705,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-584452,info@cpwdgu.com,https://www.cpwdguesth.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
OM BISHNU HOTEL,3.9,,165.0,,,,,,,,Dispur,Assam,,,26.172595,91.7809821,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-270723,info@ombishnu.com,https://www.ombishnuhotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Mamar Dukan,3.9,,198.0,,,,,,,,Dispur,Assam,,,26.178984,91.8131339,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-335214,info@mamarduka.com,https://www.mamardukan.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
GUN GUN HOTEL & RESTAURENT,3.7,,458.0,,,,,,,,Dispur,Assam,,,26.1368103,91.7248883,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-149696,info@gungunho.com,https://www.gungunhotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Rizwan Hotel,4.1,,133.0,,,,,,,,Dispur,Assam,,,26.1288711,91.7793798,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-548429,info@rizwanhot.com,https://www.rizwanhotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Dosti Hotel,4.0,,265.0,,,,,,,,Dispur,Assam,,,26.1285823,91.7793437,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-113991,info@dostihote.com,https://www.dostihotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
BISWAS HOTEL,4.1,,46.0,,,,,,,,Dispur,Assam,,,26.1740025,91.7849844,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-792430,info@biswashot.com,https://www.biswashotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
MANISHA HOTEL,4.0,,352.0,,,,,,,,Dispur,Assam,,,26.1737427,91.7849813,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-1004852,info@manishaho.com,https://www.manishahotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
BLUE HEAVEN,3.8,,270.0,,,,,,,,Dispur,Assam,,,26.1732318,91.7850425,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-326149,info@blueheave.com,https://www.blueheaven.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Lala Hotel,3.6,,262.0,,,,,,,,Dispur,Assam,,,26.1800401,91.741208,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-508024,info@lalahotel.com,https://www.lalahotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Mansarovar Hotel,4.0,,60.0,,,,,,,,Dispur,Assam,,,26.180233,91.7409013,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-952337,info@mansarovar.com,https://www.mansarovarhote.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Vivanta by Taj,4.3,,171.0,,,,,,,,Dispur,Assam,,,26.1252233,91.8173988,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,-476581,info@vivantaby.com,https://www.vivantabytaj.com,,,14.0,12.0,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap,100.0
Hotel Renaissance,3.8,,126.0,5.0,,,,,,,Dispur,Assam,,,26.1460294,91.7917704,Free WiFi,Budget,-885339,info@hotelrena.com,https://www.hotelrenaissan.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Lily,3.7,,151.0,3.0,,,,,,,Dispur,Assam,,,26.1280022,91.811675,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-720995,info@hotellily.com,https://www.hotellily.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Shoolin Grand,4.8,,163.0,4.0,,,,,,,Dispur,Assam,,,26.1363529,91.8027087,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,-174650,info@hotelshoo.com,https://www.hotelshooling.com,,,14.0,12.0,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap,100.0
Leo Residency,3.4,,148.0,,,,,,,,Dispur,Assam,,,26.1562757,91.7895493,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-526391,info@leoreside.com,https://www.leoresidency.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Sun N Sand,3.6,,443.0,,,,,,,,Pune,Maharashtra,,,18.5382482,73.8815099,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-873163,info@sunnsand.com,https://www.sunnsand.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Sriman,3.9,,157.0,,,,,,,,Pune,Maharashtra,,,18.5395872,73.8831852,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-113864,info@sriman.com,https://www.sriman.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Sirona,4.1,,486.0,,,,,,,,Pune,Maharashtra,,,18.5394081,73.8830135,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-706907,info@sirona.com,https://www.sirona.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Aurora Towers,3.8,,384.0,,,,,,,,Pune,Maharashtra,,,18.5181549,73.878853,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-154048,info@auroratow.com,https://www.auroratowers.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Raviraj,3.8,,392.0,,,,,,,,Pune,Maharashtra,,,18.5178872,73.8363021,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-567687,info@raviraj.com,https://www.raviraj.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Sagar Plaza,3.9,,412.0,,,,,,,,Pune,Maharashtra,,,18.5201845,73.8766107,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-202137,info@sagarplaz.com,https://www.sagarplaza.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
The Gordon House,3.9,,394.0,,,,,,,,Pune,Maharashtra,,,18.5380015,73.8357003,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-352826,info@thegordon.com,https://www.thegordonhous.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Executive Residency,4.3,,259.0,,,,,,,,Pune,Maharashtra,,,18.5411401,73.8877559,"Free WiFi, Air Conditioning, 24/7 Front Desk, Business Center, Meeting Rooms, Gym",Business,-112493,info@hotelexec.com,https://www.hotelexecutive.com,,,14.0,12.0,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap,100.0
shitai hotel,3.4,,33.0,,,,,,,,Pune,Maharashtra,,,18.6768318,73.8773743,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-523110,info@shitaihot.com,https://www.shitaihotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Sadanand,3.3,,415.0,,,,,,,,Pune,Maharashtra,,,18.505459,73.8232862,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-866879,info@sadanand.com,https://www.sadanand.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Shalimar Hotel,4.0,,250.0,,,,,,,,Pune,Maharashtra,,,18.5261949,73.8766929,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-214721,info@shalimarh.com,https://www.shalimarhotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Viva Inn,3.3,,314.0,,,,,,,,Pune,Maharashtra,,,18.5080071,73.7827827,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-149460,info@vivainn.com,https://www.vivainn.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Ritz Hotel,3.9,,392.0,,,,,,,,Pune,Maharashtra,,,18.5234559,73.8765561,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-592050,info@ritzhotel.com,https://www.ritzhotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Swagat Luxury Lodging,4.8,,199.0,,,,,,,,Pune,Maharashtra,,,18.4448095,73.7871856,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,9.20E+11,info@swagatlux.com,https://www.swagatluxuryl.com,,,14.0,12.0,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap,100.0
Hotel Abhijeet New Sweet Home,3.5,,489.0,,,,,,,,Pune,Maharashtra,,,18.5135819,73.8518395,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-481310,info@hotelabhi.com,https://www.hotelabhijeet.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Ginger hotel,3.7,,310.0,,,,,,,,Pune,Maharashtra,,,18.6075994,73.7515903,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-143501,info@gingerhot.com,https://www.gingerhotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Conrad Pune,3.5,,234.0,5.0,,,,,,,Pune,Maharashtra,"7, Mangaldas Road, Pune",,18.5351646,73.8831426,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-67456674,conradpune.info@conradhotels.com,https://www.hilton.com/en/hotels/pnqcici-conrad-pune/,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Marriott Suites Pune,4.2,,181.0,,,,,,,,Pune,Maharashtra,"81, Mundhwa Road, Pune",,18.5334614,73.9106668,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,9.12E+11,info@marriotts.com,https://www.marriottsuites.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
DRDO Diat Guest House ,3.9,,452.0,,,,,,,,Pune,Maharashtra,,,18.4294917,73.7692929,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-661263,info@drdodiat.com,https://www.drdodiatguest.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
royal,3.7,,369.0,,,,,,,,Pune,Maharashtra,,,18.515394,73.8666084,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-816394,info@royal.com,https://www.royal.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Treebo Hotels Guest House,4.2,,401.0,,,,,,,,Pune,Maharashtra,,,18.53323,73.8873459,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-245201,info@treebohot.com,https://www.treebohotelsg.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Apple Tree,4.1,,271.0,,,,,,,,Pune,Maharashtra,,,18.5316743,73.8970091,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-539456,info@appletree.com,https://www.appletree.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Mukesh,4.2,,292.0,,,,,,,,Pune,Maharashtra,,,18.5175829,73.8745041,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-309140,info@hotelmuke.com,https://www.hotelmukesh.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Holiday Inn Express Pune Pimpri,4.0,,430.0,,,,,,,,Pune,Maharashtra,"Plot No.- 2 CTS No.- 5758 B, Pune",,18.6282118,73.8075688,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,20-66354444,info@holidayin.com,https://www.ihg.com/holidayinnexpress/hotels/us/en/pune-pimpri/pnqpp/hoteldetail,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Royal Palace,4.1,,477.0,,,,,,,,Pune,Maharashtra,,,18.5253347,73.8495974,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,-233037,info@hotelroya.com,https://www.hotelroyalpal.com,,,14.0,12.0,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap,100.0
Ranadeep Lodge,3.2,,248.0,,,,,,,,Pune,Maharashtra,,,18.5309914,73.8756484,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-302181,info@ranadeepl.com,https://www.ranadeeplodge.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Treebo Ranjana's,3.5,,366.0,,,,,,,,Pune,Maharashtra,,,18.6038733,73.7539775,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-251874,info@treeboran.com,https://www.treeboranjana.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Keys Hotel,3.4,,393.0,,,,,,,,Pune,Maharashtra,,,18.631858,73.8015798,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-146069,info@keyshotel.com,https://www.keyshotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Nishigandha,4.0,,399.0,,,,,,,,Pune,Maharashtra,,,18.5232218,73.8530683,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-745352,info@nishigandh.com,https://www.nishigandha.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Lakevilla,3.2,,169.0,,,,,,,,Pune,Maharashtra,,,18.4304461,73.8367335,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-470295,info@lakevilla.com,https://www.lakevilla.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
57. Lorraine.,4.1,,126.0,,,,,,,,Pune,Maharashtra,"57, S.t Patrick's Town, Pune",,18.5092824,73.9085467,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-112894,info@57lorrai.com,https://www.57lorraine.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Central Government Touring Officers Guest House,3.7,,450.0,,,,,,,,Pune,Maharashtra,,,18.495322,73.8621703,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-876335,info@centralgo.com,https://www.centralgovernm.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Ambience,3.6,,63.0,,,,,,,,Pune,Maharashtra,,,18.6002848,73.775589,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-358330,info@ambience.com,https://www.ambience.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Muktai Veg & Non Veg,3.9,,124.0,,,,,,,,Pune,Maharashtra,"Sinhagad Road, Pune",,18.4445206,73.7854961,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-561861,info@hotelmukt.com,https://www.hotelmuktaive.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Mejwani pure veg,3.6,,230.0,,,,,,,,Pune,Maharashtra,"Sinhagad Road, Pune",,18.4445889,73.7855709,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-519931,info@mejwanipu.com,https://www.mejwanipureve.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
hotel5,3.6,,95.0,,,,,,,,Pune,Maharashtra,,,18.6083116,73.9112408,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-908630,info@hotel5.com,https://www.hotel5.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Raj Mahal,4.0,,141.0,,,,,,,,Pune,Maharashtra,,,18.49755,73.8538827,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-796829,info@rajmahal.com,https://www.rajmahal.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
FabExpress SRH,3.9,,360.0,,,,,,,,Pune,Maharashtra,"No 285, 285/3/B Sr, 3/B,, Hinjawadi Phase 1 Road, Pune",,18.5950724,73.730659,Free WiFi,Budget,-953081,info@fabexpress.com,https://www.fabhotels.com/?source=google&medium=ppc&campaignid=1751436608&adgroupid=67318237623&device=c&keyword=fabhotels,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Treebo Trend Niraali Executive,4.4,,91.0,,,,,,,,Pune,Maharashtra,,,18.5854133,73.7313554,"Free WiFi, Air Conditioning, 24/7 Front Desk, Business Center, Meeting Rooms, Gym",Business,-675277,info@treebotre.com,https://www.treebotrendni.com,,,14.0,12.0,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap,100.0
Ibis Hinjawadi,3.4,,316.0,,,,,,,,Pune,Maharashtra,,,18.5961238,73.7174831,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-211220,info@ibishinja.com,https://www.ibishinjawadi.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Desi Kitchen,3.5,,370.0,,,,,,,,Pune,Maharashtra,,,18.5814406,73.7252039,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-545373,info@desikitch.com,https://www.desikitchen.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
OYO Flagship IT Park,3.7,,355.0,,,,,,,,Pune,Maharashtra,,,18.5855164,73.7404677,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-539484,info@oyoflagsh.com,https://www.oyoflagshipit.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Apapa Idali Dosa Center,3.8,,131.0,,,,,,,,Pune,Maharashtra,"Shop No, JQ66+VWG, 4, Dange Chowk Rd, Yashoda Colony, Wakad, Pune, Maharashtra 411057",,18.6125864,73.762636,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-435880,info@apapaidal.com,https://www.apapaidalidos.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
O Hotel Pune,3.9,,63.0,,,,,,,,Pune,Maharashtra,,,18.5398003,73.8877419,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-567387,info@ohotelpu.com,https://www.ohotelpune.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Mahi Dhaba,4.1,,342.0,,,,,,,,Pune,Maharashtra,,,18.5827075,73.7397323,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-934485,info@mahidhaba.com,https://www.mahidhaba.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
swa rashtra,3.2,,308.0,,,,,,,,Pune,Maharashtra,maan road,,18.5844788,73.7311584,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-986209,info@swarashtr.com,https://www.swarashtra.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Shree Inn,3.6,,313.0,,,,,,,,Pune,Maharashtra,Sakhare Vasti Road,,18.5883877,73.7412591,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-226466,info@shreeinn.com,https://www.shreeinn.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Nana Shri Hotel,3.5,,327.0,,,,,,,,Pune,Maharashtra,,,18.6107793,73.7922832,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-850113,info@nanashri.com,https://www.nanashrihotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Haveli,3.5,,314.0,,,,,,,,Pune,Maharashtra,"Indrayani Nagar Bus Stop, Near, Pune - Nashik Hwy, , Sector No. 1, Bhosari, Pimpri-Chinchwad, Maharashtra, Pune Nashik Road",,18.6344931,73.8493801,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-169987,info@hotelhave.com,https://www.hotelhaveli.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Executive Tamanna,4.3,,371.0,,,,,,,,Pune,Maharashtra,,,18.5857369,73.7349768,"Free WiFi, Air Conditioning, 24/7 Front Desk, Business Center, Meeting Rooms, Gym",Business,-234652,info@executive.com,https://www.executivetaman.com,,,14.0,12.0,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap,100.0
OYO Vys Inn,4.0,,216.0,,,,,,,,Pune,Maharashtra,,,18.5553113,73.7978999,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-605325,info@oyovysin.com,https://www.oyovysinn.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
YKS Sizzlers,3.8,,70.0,,,,,,,,Pune,Maharashtra,,,18.509757,73.8343856,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-247193,info@ykssizzle.com,https://www.ykssizzlers.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Samadhan Mutton Khanawal,3.3,,487.0,,,,,,,,Pune,Maharashtra,,,18.6355676,73.7501222,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-752502,info@samadhanm.com,https://www.samadhanmutton.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Oyo Kamini,4.1,,243.0,,,,,,,,Pune,Maharashtra,,,18.6327503,73.7847402,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-440983,info@oyokamini.com,https://www.oyokamini.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Sheetal,3.9,,418.0,,,,,,,,Pune,Maharashtra,"1180, Gopal Krushna Gokhale Path, Pune, Pune",,18.5276184,73.8427918,Free WiFi,Budget,+91 20 2553 5165;+91 20 2553 5627;+91 20 2553 5168;+91 20 2553 5149,info@hotelshee.com,https://hotelsheetal.net,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Lotus,3.4,,469.0,,,,,,,,Pune,Maharashtra,,,18.536234,73.8970481,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-807843,info@hotellotu.com,https://www.hotellotus.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Centro,3.2,,338.0,,,,,,,,Pune,Maharashtra,,,18.5224671,73.8441616,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-403220,info@hotelcent.com,https://www.hotelcentro.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Arusai,3.7,,457.0,,,,,,,,Pune,Maharashtra,"Dhanori - Kalwad Road, Pune",,18.5967799,73.9076094,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-902685,info@hotelarus.com,https://www.hotelarusai.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
"Aura Celestia - Bar, Kitchen & Celebration",3.2,,371.0,,,,,,,,Pune,Maharashtra,,,18.4604555,73.7862933,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-204687,info@auraceles.com,https://www.auracelestia.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
AQUARIUS Resort & Lawns,3.7,,218.0,,,,,,,,Pune,Maharashtra,"Sinhagad Road, Pune",,18.4291281,73.7556585,"Free WiFi, Air Conditioning, 24/7 Front Desk, Pool, Restaurant, Gym, Spa",Resort,-193524,info@aquariusr.com,https://www.aquariusresort.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hyatt Regency Pune,3.2,,239.0,,,,,,,,Pune,Maharashtra,"Nagar Road, Pune, Pune",,18.5594575,73.9119574,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-462690,info@hyattrege.com,https://www.hyattregencyp.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
H.A. Hotel,3.9,,408.0,,,,,,,,Pune,Maharashtra,"pimpri, pune",,18.625453,73.8118102,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-306849,info@hahotel.com,https://www.hahotel.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
ICAR-NRC Grapes,4.0,,268.0,,,,,,,,Pune,Maharashtra,Solapur Road,,18.4939073,73.9837011,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-240281,info@icarnrcg.com,https://www.icarnrcgrapes.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Regenta,3.4,,326.0,,,,,,,,Pune,Maharashtra,,,18.648223,73.7883785,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-330275,info@regenta.com,https://www.regenta.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
FabHotels FabExpress The Corporate Hub,4.3,,137.0,,,,,,,,Pune,Maharashtra,,,18.5673619,73.7752769,"Free WiFi, Air Conditioning, 24/7 Front Desk, Business Center, Meeting Rooms, Gym",Business,-159893,info@fabhotels.com,https://www.fabhotels.com/hotels-in-pune/fabexpress-the-corporate-hub-giyeqqqp.html,,,14.0,12.0,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap,100.0
The Highstreet Legacy,4.2,,459.0,,,,,,,,Pune,Maharashtra,,,18.5673278,73.7753078,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91 90901 68989;+91 90907 68989,thehighstreetlegacy@gmail.com,https://www.thehighstreet.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Hotel Yellow House,3.7,,157.0,,,,,,,,Pune,Maharashtra,,,18.5691742,73.7805725,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,+91 76339 47633,info@hotelyell.com,https://www.hotelyellowho.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
Sheraton Grand Pune,4.5,,474.0,,,,,,,,Pune,Maharashtra,,,18.5301673,73.8713588,"Free WiFi, Air Conditioning, 24/7 Front Desk, Spa, Pool, Gym, Restaurant, Room Service",Luxury,-504956,info@sheratong.com,https://www.sheratongrand.com,,,14.0,12.0,"Standard Room, Deluxe Room, Suite, Executive Room",OpenStreetMap,100.0
Central Park,3.7,,347.0,,,,,,,,Pune,Maharashtra,,,18.5274938,73.8786098,"Free WiFi, Air Conditioning, 24/7 Front Desk",Budget,-765708,info@centralpa.com,https://www.centralpark.com,,,14.0,12.0,"Standard Room, Deluxe Room",OpenStreetMap,100.0
